description,file_hash,file_name,file_extension,weight
ransomware note download from fsrm.experiant.ca,,.nigra,,
ransomware note download from fsrm.experiant.ca,,*d3ad_Help.*,,
ransomware note download from fsrm.experiant.ca,,*LOCKFILE-README.hta,,
ransomware note download from fsrm.experiant.ca,,.pause,,
ransomware note download from fsrm.experiant.ca,,*@disroot.org*,,
ransomware note download from fsrm.experiant.ca,,*_HD,,
ransomware note download from fsrm.experiant.ca,,*mlagham.exe,,
ransomware note download from fsrm.experiant.ca,,*@criptext.com*,,
ransomware note download from fsrm.experiant.ca,,.*AgeLocker,,
ransomware note download from fsrm.experiant.ca,,*@pm.me*,,
ransomware note download from fsrm.experiant.ca,,*_out,,
ransomware note download from fsrm.experiant.ca,,*prnds,,
ransomware note download from fsrm.experiant.ca,,*CoronaCrypt*,,
ransomware note download from fsrm.experiant.ca,,*SpartCrypt*,,
ransomware note download from fsrm.experiant.ca,,*wifi*hacker*,,
ransomware note download from fsrm.experiant.ca,,*unluckyware*,,
ransomware note download from fsrm.experiant.ca,,*@*.banks*,,
ransomware note download from fsrm.experiant.ca,,.111111,,
ransomware note download from fsrm.experiant.ca,,*@rape.lol*,,
ransomware note download from fsrm.experiant.ca,,.restoreserver,,
ransomware note download from fsrm.experiant.ca,,.KEY0004,,
ransomware note download from fsrm.experiant.ca,,.dec,,
ransomware note download from fsrm.experiant.ca,,.arrepiante,,
ransomware note download from fsrm.experiant.ca,,.SARS-CoV-2,,
ransomware note download from fsrm.experiant.ca,,MZReverenge*,,
ransomware note download from fsrm.experiant.ca,,*Rec0very*,,
ransomware note download from fsrm.experiant.ca,,*FDFK*INFO*,,
ransomware note download from fsrm.experiant.ca,,*kremez*,,
ransomware note download from fsrm.experiant.ca,,Ransom*Software*.exe,,
ransomware note download from fsrm.experiant.ca,,.dglnl,,
ransomware note download from fsrm.experiant.ca,,.ohwqg,,
ransomware note download from fsrm.experiant.ca,,.googl,,
ransomware note download from fsrm.experiant.ca,,.hets,,
ransomware note download from fsrm.experiant.ca,,.KRAB,,
ransomware note download from fsrm.experiant.ca,,*qibfmkeM5*,,
ransomware note download from fsrm.experiant.ca,,*Instraction*,,
ransomware note download from fsrm.experiant.ca,,*qweasd*,,
ransomware note download from fsrm.experiant.ca,,*@sectex*net*,,
ransomware note download from fsrm.experiant.ca,,*@cock.lu*,,
ransomware note download from fsrm.experiant.ca,,USPS_Delivery.doc,,
ransomware note download from fsrm.experiant.ca,,.cr1,,
ransomware note download from fsrm.experiant.ca,,svchostt.exe,,
ransomware note download from fsrm.experiant.ca,,*ABAT*INFO*.*,,
ransomware note download from fsrm.experiant.ca,,!how_to_unlock_your_file.txt,,
ransomware note download from fsrm.experiant.ca,,*@files.mn*,,
ransomware note download from fsrm.experiant.ca,,*structsstructs*,,
ransomware note download from fsrm.experiant.ca,,structsstructs.exe,,
ransomware note download from fsrm.experiant.ca,,FACT. 8-9-1278104.doc,,
ransomware note download from fsrm.experiant.ca,,FA_HLEH3S83AO22WO.doc,,
ransomware note download from fsrm.experiant.ca,,*RANSOMED*,,
ransomware note download from fsrm.experiant.ca,,msptermthemes.exe,,
ransomware note download from fsrm.experiant.ca,,hacked.txt,,
ransomware note download from fsrm.experiant.ca,,*msptermthemes*,,
ransomware note download from fsrm.experiant.ca,,!!!Readme!!!Help!!!.txt,,
ransomware note download from fsrm.experiant.ca,,*ENCx45cR*,,
ransomware note download from fsrm.experiant.ca,,.mike!Ransom,,
ransomware note download from fsrm.experiant.ca,,.kuub,,
ransomware note download from fsrm.experiant.ca,,#DECP_README#.rtf,,
ransomware note download from fsrm.experiant.ca,,*@tfwno.gf*,,
ransomware note download from fsrm.experiant.ca,,*tflower*,,
ransomware note download from fsrm.experiant.ca,,HILDACRYPTReadMe.html,,
ransomware note download from fsrm.experiant.ca,,GoRansom.txt,,
ransomware note download from fsrm.experiant.ca,,!_Notice_!.txt,,
ransomware note download from fsrm.experiant.ca,,chilli.exe,,
ransomware note download from fsrm.experiant.ca,,decoder.hta,,
ransomware note download from fsrm.experiant.ca,,delog.bat,,
